date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2015:22:03%20GMT	https://www.tiess.online/robots.txt		(from )
20:52:08	107899/107899	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2015:22:04%20GMT	https://www.tiess.online/	C:/My%20Web%20Sites/hridaan/www.tiess.online/index.html	(from )
20:52:15	18959/18959	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Nov%202020%2005:25:56%20GMT	https://www.tiess.online/css/responsive.css	C:/My%20Web%20Sites/hridaan/www.tiess.online/css/responsive.css	(from https://www.tiess.online/)
20:52:16	140930/140930	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Nov%202020%2005:25:55%20GMT	https://www.tiess.online/css/bootstrap.css	C:/My%20Web%20Sites/hridaan/www.tiess.online/css/bootstrap.css	(from https://www.tiess.online/)
20:52:16	9742/9742	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Nov%202020%2005:28:11%20GMT	https://www.tiess.online/revolution/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from https://www.tiess.online/)
20:52:17	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/hridaan/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.tiess.online/)
20:52:18	41552/41552	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Nov%202020%2005:28:08%20GMT	https://www.tiess.online/revolution/fonts/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/fonts/font-awesome/css/font-awesome.css	(from https://www.tiess.online/)
20:52:21	30060/30060	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Nov%202020%2005:26:30%20GMT	https://www.tiess.online/revolution/css/settings.css	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/css/settings.css	(from https://www.tiess.online/)
20:52:23	234832/234832	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Jan%202021%2011:12:42%20GMT	https://www.tiess.online/css/style.css	C:/My%20Web%20Sites/hridaan/www.tiess.online/css/style.css	(from https://www.tiess.online/)
20:52:23	110419/110419	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:31%20GMT	https://www.tiess.online/revolution/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/jquery.themepunch.tools.min.js	(from https://www.tiess.online/)
20:52:27	64989/64989	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:31%20GMT	https://www.tiess.online/revolution/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/jquery.themepunch.revolution.min.js	(from https://www.tiess.online/)
20:52:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2015:22:28%20GMT	https://www.tiess.online/revolution-addons/slicey/js/revolution.addon.slicey.min.js?ver=1.0.0	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution-addons/slicey/js/revolution.addon.slicey.min.98a54.delayed	(from https://www.tiess.online/)
20:52:32	8324/8324	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:38%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.actions.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.actions.min.js	(from https://www.tiess.online/)
20:52:33	7601/7601	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:38%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.carousel.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.carousel.min.js	(from https://www.tiess.online/)
20:52:33	3750/3750	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:38%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.kenburn.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.kenburn.min.js	(from https://www.tiess.online/)
20:52:36	55805/55805	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:39%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.layeranimation.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from https://www.tiess.online/)
20:52:37	26099/26099	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:39%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.migration.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.migration.min.js	(from https://www.tiess.online/)
20:52:37	26099/26099	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:39%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.navigation.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.navigation.min.js	(from https://www.tiess.online/)
20:52:39	10927/10927	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:39%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.parallax.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.parallax.min.js	(from https://www.tiess.online/)
20:52:40	29066/29066	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:39%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.slideanims.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.slideanims.min.js	(from https://www.tiess.online/)
20:52:43	26075/26075	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Nov%202020%2005:26:39%20GMT	https://www.tiess.online/revolution/js/extensions/revolution.extension.video.min.js	C:/My%20Web%20Sites/hridaan/www.tiess.online/revolution/js/extensions/revolution.extension.video.min.js	(from https://www.tiess.online/)
20:52:45	91651/91651	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Jan%202021%2015:22:44%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/hridaan/connect.facebook.net/en_US/fbevents.js	(from https://www.tiess.online/)
20:52:48	11142/11142	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2012:56:36%20GMT	https://www.tiess.online/images/tiess-logo.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/tiess-logo.png	(from https://www.tiess.online/)
20:52:52	11160/11160	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:03%20GMT	https://www.tiess.online/images/tiess-white-logo.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/tiess-white-logo.png	(from https://www.tiess.online/)
20:52:53	218057/218057	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:25%20GMT	https://www.tiess.online/images/slider/1.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/slider/1.jpg	(from https://www.tiess.online/)
20:52:55	119005/119005	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:25%20GMT	https://www.tiess.online/images/slider/2.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/slider/2.jpg	(from https://www.tiess.online/)
20:53:02	149487/149487	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:26%20GMT	https://www.tiess.online/images/slider/6.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/slider/6.jpg	(from https://www.tiess.online/)
20:53:03	134860/134860	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:25%20GMT	https://www.tiess.online/images/slider/4.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/slider/4.jpg	(from https://www.tiess.online/)
20:53:04	154986/154986	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:25%20GMT	https://www.tiess.online/images/slider/3.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/slider/3.jpg	(from https://www.tiess.online/)
20:53:04	315239/315239	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:26%20GMT	https://www.tiess.online/images/slider/5.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/slider/5.jpg	(from https://www.tiess.online/)
20:53:04	120522/120522	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:26%20GMT	https://www.tiess.online/images/slider/8.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/slider/8.jpg	(from https://www.tiess.online/)
20:53:08	69846/69846	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2015:23:03%20GMT	https://www.tiess.online/registration	C:/My%20Web%20Sites/hridaan/www.tiess.online/registration.html	(from https://www.tiess.online/)
20:53:12	255194/255194	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:07%20GMT	https://www.tiess.online/images/about/about1.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/about/about1.jpg	(from https://www.tiess.online/)
20:53:17	8124/8124	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:38%20GMT	https://www.tiess.online/images/flags/argentina.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/argentina.png	(from https://www.tiess.online/)
20:53:17	14168/14168	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:38%20GMT	https://www.tiess.online/images/flags/aus.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/aus.png	(from https://www.tiess.online/)
20:53:19	3517/3517	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:38%20GMT	https://www.tiess.online/images/flags/Austria.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Austria.png	(from https://www.tiess.online/)
20:53:20	3924/3924	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:38%20GMT	https://www.tiess.online/images/flags/Belgium.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Belgium.png	(from https://www.tiess.online/)
